configuracion,cruce,mutacion,semilla,makespan,balance,energia,tamano_frente,score_agregado,tiempo
Uniforme + Insert,uniforme,insert,28,1555.6789020852011,281.81147776201465,624.3550439461208,100,2.609146820648536,21.22941017150879
Uniforme + Invert,uniforme,invert,0,1552.8178423091952,281.15778058633435,624.1131842878737,100,2.6051917863774365,21.135452270507812
Uniforme + Invert,uniforme,invert,1,1556.2606320778202,280.903972878457,624.5258537580014,100,2.6066566833832927,21.04015564918518
Uniforme + Insert,uniforme,insert,29,1555.267575821877,280.07763486813843,624.3339241292392,100,2.60313151003698,21.235663175582886
Uniforme + Invert,uniforme,invert,2,1560.0954754809968,284.3844589262359,624.4666331208435,100,2.620091124333918,21.063802480697632
Uniforme + Invert,uniforme,invert,3,1556.1011304281524,283.78049999872763,624.2444430645314,100,2.6157633410163084,21.143086910247803
Uniforme + Invert,uniforme,invert,15,1556.2673915962614,279.25202544240653,624.5619739491913,100,2.60120517196214,31.900022506713867
Uniforme + Invert,uniforme,invert,11,1553.4915377553957,282.4910668437231,624.1379146730935,100,2.6100082507469087,32.87513756752014
Uniforme + Invert,uniforme,invert,4,1552.7748892127895,279.9630345441393,624.3337899050749,100,2.601502973903633,34.46467995643616
Uniforme + Invert,uniforme,invert,8,1559.664770600237,282.0404165945639,624.5221413696767,100,2.612141594952965,34.05362796783447
Uniforme + Invert,uniforme,invert,7,1560.997250573937,280.3713417204941,624.6846302752803,100,2.607476379034254,34.21161866188049
Uniforme + Invert,uniforme,invert,9,1559.31218235847,282.84181281532483,624.462504286702,100,2.6145514257351303,34.31777215003967
Uniforme + Invert,uniforme,invert,10,1563.2024785451786,283.5022429194712,624.7089316722211,100,2.6190500466311426,34.30964517593384
Uniforme + Invert,uniforme,invert,5,1547.0111842033532,282.7738170409457,623.6766049000672,100,2.6070515606668296,34.60137176513672
Uniforme + Invert,uniforme,invert,6,1571.2909594240573,282.5592943803028,625.3105079239125,100,2.6208105199186273,34.59876728057861
Uniforme + Invert,uniforme,invert,16,1554.6951594240572,282.1679177317275,624.1933695030694,100,2.6096121190602672,34.105451822280884
Uniforme + Invert,uniforme,invert,14,1545.272294522014,281.27037492606445,623.6484752374528,100,2.601130456877583,34.658992290496826
Uniforme + Invert,uniforme,invert,12,1557.9053152538365,280.8206002747142,624.5469050449202,100,2.607231189559185,34.99935460090637
Uniforme + Invert,uniforme,invert,13,1559.3983060996177,283.2910970377287,624.4686154433363,100,2.6161008319041468,35.053144693374634
Uniforme + Invert,uniforme,invert,18,1541.8862985014819,283.2430711242586,623.298931077909,100,2.605513764061949,34.82967162132263
Uniforme + Invert,uniforme,invert,17,1549.6576414240574,281.9393482269987,623.7778303678474,100,2.6057378343751396,35.08044242858887
Uniforme + Invert,uniforme,invert,19,1549.7182686110534,283.1255154472631,623.8506774948398,100,2.6098261060271275,35.193742513656616
Uniforme + Invert,uniforme,invert,22,1553.0133525130152,282.34783418456794,623.9923224124283,100,2.6090837269847267,24.340996503829956
Uniforme + Invert,uniforme,invert,26,1548.9366594240576,283.279457055598,623.7372678410675,100,2.6097864263369757,24.225716829299927
Uniforme + Invert,uniforme,invert,21,1549.5020605203079,277.6189686717701,624.1502313849411,100,2.5917907801921607,24.706089735031128
Uniforme + Invert,uniforme,invert,24,1553.5313436441575,282.4230798651977,624.0993660704008,100,2.60974646099712,24.65408420562744
Uniforme + Invert,uniforme,invert,25,1569.2909594240573,285.2045235650087,625.0363588192602,100,2.628236308956239,28.073204517364502
Uniforme + Invert,uniforme,invert,23,1570.9203233140577,283.3127993024623,625.228118071559,100,2.623019185148416,28.533101558685303
Uniforme + Invert,uniforme,invert,20,1552.8073704341698,281.7528147572845,624.0836126950485,100,2.607127752543817,29.949658632278442
Uniforme + Invert,uniforme,invert,27,1547.8690217055305,277.59071834412174,624.0597059413697,100,2.590750770963699,29.807554483413696
Uniforme + Invert,uniforme,invert,28,1557.3179667788347,278.71717586140005,624.5572729455957,100,2.599940911897316,22.419318675994873
Uniforme + Invert,uniforme,invert,29,1559.4560509951348,284.6344315212111,624.4112733580447,100,2.6205255686988114,22.124608755111694
1-Punto + Swap,un_punto,swap,1,1561.632300045179,283.062532418732,624.5931426410634,100,2.616633842810358,21.636560440063477
1-Punto + Swap,un_punto,swap,3,1553.7641955611953,278.47165913594074,624.3556158381732,100,2.5970575556216,21.815016269683838
1-Punto + Swap,un_punto,swap,14,1551.2571687980003,282.18450314605326,623.9566819014166,100,2.6076102833164394,20.684667825698853
1-Punto + Swap,un_punto,swap,15,1568.7170832979768,282.018022890401,625.1947961917148,100,2.6175540410813465,20.72607111930847
1-Punto + Swap,un_punto,swap,16,1559.8233078622736,280.50196717760736,624.6144728672681,100,2.607224601000211,20.682238578796387
1-Punto + Swap,un_punto,swap,17,1553.7515227185038,280.5816032998559,624.2915414332258,100,2.603992831549094,20.71808648109436
