Configuracion,Metodo_Seleccion,Metodo_Cruce,Metodo_Mutacion,Promedio_Mejor_Generacion,Desviacion_Generacion,Promedio_Mejor_Fitness,Desviacion_Fitness,Promedio_promedios,Desviacion_promedio_20p
4,seleccion_por_ruleta,cruce_1_punto,mutacion_intercambio_por_etapa,227.63333333333333,58.85603905576159,0.0006414477732405833,1.936496600149199e-06,0.0006412343355315567,1.997627364133708e-06
4,seleccion_por_ruleta,cruce_2_puntos,mutacion_aleatoria,211.53333333333333,63.98315151788727,0.0006351358372531334,2.0722695661923455e-06,0.00063484131031451,2.3105379692302512e-06
4,seleccion_por_ruleta,cruce_2_puntos,mutacion_intercambio_por_etapa,223.6,66.42787117592673,0.0006413758306586934,2.3262545641778134e-06,0.0006412453115633399,2.3012952621094856e-06
4,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,186.2,86.63335345601301,0.00063445065055898,2.1818787311213547e-06,0.0006341059189214433,2.2700738732327097e-06
4,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,242.63333333333333,60.39952233958954,0.0006412581119655467,2.516505103554884e-06,0.0006409871170752734,2.438468296666477e-06
4,seleccion_por_torneo,cruce_2_puntos,mutacion_aleatoria,193.16666666666666,84.23165239010699,0.0006343116996147933,2.1844561774930907e-06,0.0006340327273452667,2.1636864985335826e-06
4,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,244.8,54.704472489411934,0.00064208792535269,2.359959043381052e-06,0.0006418767776075366,2.3254256978238888e-06
5,seleccion_por_ranking,cruce_1_punto,mutacion_aleatoria,207.93333333333334,66.65502197151382,0.0006372550559102366,2.390880324879739e-06,0.00063714550857228,2.3773148832131736e-06
5,seleccion_por_ranking,cruce_1_punto,mutacion_intercambio_por_etapa,205.46666666666667,72.62075951574506,0.0006433502492942533,2.430866185132321e-06,0.00064325376231081,2.3568967150342264e-06
5,seleccion_por_ranking,cruce_2_puntos,mutacion_aleatoria,221.1,61.709190060565824,0.00063793391264653,2.1059897554103007e-06,0.00063774464158723,2.0795593061236502e-06
