Iteracion,Configuracion,Metodo_Seleccion,Metodo_Cruce,Metodo_Mutacion,Mejor_Fitness,Mejor_generacion
4,9,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006331890373469004,130
4,10,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.000630820033124151,22
5,1,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.000632171897860523,214
5,2,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006376615320727544,180
5,3,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006323122857359639,221
5,4,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006359454239756564,51
5,5,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006353861506823032,184
5,6,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006328957560352034,233
5,7,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006371266507086748,281
5,8,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006346448782791934,187
5,9,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006314587020724474,293
5,10,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.000636084872538984,130
6,1,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006326038945310086,224
6,2,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006416840274339933,281
6,3,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006353236069078312,180
6,4,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.000639255769985642,284
6,5,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006369649158044383,243
6,6,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006341607030617964,150
6,7,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006358265129111232,201
6,8,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006343044857351773,296
6,9,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.000630421359558767,99
6,10,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006358560517927902,260
7,1,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006322934900258505,93
7,2,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006346748014857009,146
7,3,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006321034428810163,213
7,4,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006291671672998045,152
7,5,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006358134095889438,203
7,6,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006401206163668637,252
7,7,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006338755653858563,261
7,8,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006294655630568727,80
7,9,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006334376474321901,268
7,10,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.000638559396117893,120
8,1,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006313498213469466,62
8,2,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006366203871061742,160
8,3,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006335177962309613,163
8,4,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006382018625309822,99
8,5,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006401279380453519,194
8,6,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006357062605142358,277
8,7,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006320395955475356,239
8,8,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006365402911965369,159
8,9,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006306546488842761,276
8,10,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006363664792403196,187
9,1,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006328212612107904,269
9,2,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.000639542659174376,190
9,3,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006323401168468448,217
9,4,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006349250182039175,27
