Iteracion,Configuracion,Metodo_Seleccion,Metodo_Cruce,Metodo_Mutacion,Mejor_Fitness,Mejor_generacion,Promedios_20p
8,5,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006339886927679959,36,0.000633988692767996
8,6,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006367725807025502,134,0.0006367725807025502
8,7,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006369731685919797,171,0.0006369731685919797
8,8,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006362426003531459,143,0.0006362426003531459
8,9,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006340441018518251,236,0.0006340441018518252
8,10,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006345302908575947,287,0.0006344386285751578
1,1,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006415836057402583,282,0.0006412422511700065
1,2,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006461152738831178,299,0.0006454895401312744
1,3,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006407593105575834,136,0.0006407593105575835
1,4,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006391287331280221,275,0.0006390133849370871
1,5,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006439099477784831,294,0.000643531379172893
1,6,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006400444282729993,292,0.0006387329987807955
1,7,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006354707544549107,230,0.0006354707544549105
1,8,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006400408878778946,238,0.0006400408878778948
1,9,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006433895616852936,300,0.0006431969996682354
1,10,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006399766645522285,182,0.0006399766645522282
2,1,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006353495507529268,177,0.0006353495507529269
2,2,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006421883246536166,75,0.0006421883246536167
2,3,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006430568697031017,202,0.0006430568697031019
2,4,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.000643046733603428,221,0.0006430467336034281
2,5,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.00064182185430549,132,0.0006418218543054898
2,6,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006450565350506288,299,0.0006444128409574906
2,7,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006398058565950604,221,0.0006398058565950603
2,8,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006435261439573296,299,0.0006432850329355523
2,9,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006435614456949034,187,0.0006435614456949035
2,10,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006420777488524019,300,0.0006401601868398794
3,1,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006390571801671071,272,0.0006387986898623278
3,2,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006399827160284618,218,0.0006399827160284618
3,3,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006413244066279846,192,0.0006413244066279848
3,4,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006408866190201461,234,0.0006408866190201462
3,5,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006395865458057836,217,0.0006395865458057839
3,6,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006424431919541688,264,0.0006422735171325614
3,7,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006426014038673006,241,0.0006426014038673006
